gate,family,priority,verdict,total_signals,evaluated_samples,pending_samples,partial_samples,avg_return_pct,median_return_pct,win_rate,target_1_hit_rate,stop_hit_rate,mfe_mean_pct,mae_mean_pct,mfe_mae_ratio,best_return_pct,worst_return_pct,latest_signal_utc,latest_candle_timestamp,description,warnings,filters
STRUCTURE_SCORE_GE_10,review_backtest_candidate,4,SHADOW_BUILDING,14,14,0,0,0.8834,0.8142,100.0,100.0,85.71,3.4715,-1.9449,1.785,1.7343,0.4897,2026-07-03T22:12:37.322247+00:00,2026-07-03 20:00:00,مثبت ولی نیازمند review: structure_score >= 10.,['Forward evaluated samples کمتر از حداقل 30 است: 14'],{'structure_score_min': 10}
HISTORICAL_EDGE_SCORE_GE_1,primary_backtest_candidate,3,SHADOW_BUILDING,2,2,0,0,-3.0511,-3.0511,0.0,0.0,100.0,0.4753,-3.7369,0.127,-2.8398,-3.2625,2026-07-07T15:40:48.725757+00:00,2026-07-07 12:00:00,Backtest candidate با stop کمتر: historical_edge_score >= 1.,['Forward evaluated samples کمتر از حداقل 30 است: 2'],{'historical_edge_score_min': 1}
REGIME_TRENDING_BEAR__RISK_MEDIUM,regime_gate_matrix_candidate,0,SHADOW_BUILDING,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,v6.1 regime proposal: TRENDING_BEAR + risk_label = Medium.,['هنوز هیچ تصمیم Forward این gate را پاس نکرده است.'],"{'regime_label_in': ['TRENDING_BEAR'], 'risk_normalized_in': ['MEDIUM']}"
REGIME_TRENDING_BEAR__RISK_MEDIUM__SHORT,regime_gate_matrix_candidate,0,SHADOW_BUILDING,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,v6.1 regime proposal: TRENDING_BEAR + risk_label = Medium + SHORT.,['هنوز هیچ تصمیم Forward این gate را پاس نکرده است.'],"{'regime_label_in': ['TRENDING_BEAR'], 'risk_normalized_in': ['MEDIUM'], 'side_in': ['SHORT']}"
REGIME_TRENDING_BEAR__STRUCTURE_SCORE_GE_10,regime_gate_matrix_candidate,0,SHADOW_BUILDING,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,v6.1 regime proposal: TRENDING_BEAR + structure_score >= 10.,['هنوز هیچ تصمیم Forward این gate را پاس نکرده است.'],"{'regime_label_in': ['TRENDING_BEAR'], 'structure_score_min': 10}"
REGIME_TRENDING_BEAR__STRUCTURE_SCORE_GE_10__SHORT,regime_gate_matrix_candidate,0,SHADOW_BUILDING,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,v6.1 regime proposal: TRENDING_BEAR + structure_score >= 10 + SHORT.,['هنوز هیچ تصمیم Forward این gate را پاس نکرده است.'],"{'regime_label_in': ['TRENDING_BEAR'], 'structure_score_min': 10, 'side_in': ['SHORT']}"
VOLUME_SCORE_GE_10,primary_backtest_candidate,1,SHADOW_BUILDING,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Backtest candidate قوی: volume_score >= 10.,['هنوز هیچ تصمیم Forward این gate را پاس نکرده است.'],{'volume_score_min': 10}
RISK_MEDIUM,primary_backtest_candidate,2,SHADOW_BUILDING,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Backtest candidate با sample بیشتر: risk_label = Medium.,['هنوز هیچ تصمیم Forward این gate را پاس نکرده است.'],{'risk_normalized_in': ['MEDIUM']}
SCORE_GE_80,small_sample_positive,5,SHADOW_BUILDING,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,مثبت کم‌نمونه: score >= 80؛ فقط watchlist تحقیقاتی.,['هنوز هیچ تصمیم Forward این gate را پاس نکرده است.'],{'score_min': 80}
DOGE_SHORT_WATCH,symbol_side_watch,6,SHADOW_BUILDING,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,مثبت کم‌نمونه: DOGE/USDT SHORT.,['هنوز هیچ تصمیم Forward این gate را پاس نکرده است.'],"{'symbol_in': ['DOGE/USDT'], 'side_in': ['SHORT']}"
BNB_LONG_SCORE_GE_60,symbol_side_watch,7,SHADOW_BUILDING,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,مثبت کم‌نمونه: BNB/USDT LONG + score>=60.,['هنوز هیچ تصمیم Forward این gate را پاس نکرده است.'],"{'symbol_in': ['BNB/USDT'], 'side_in': ['LONG'], 'score_min': 60}"
